gallery,date,termFreqs
akb48,2021-08-16,"(미우,135.37430290277882),(레이,73.05354222072087),(토무,65.5036949529575),(시연이,64.26079167449261),(시요밍,59.67073512631456),(쇼룸,58.45364051427146),(양민,58.45364051427146),(노기자카,41.84591440069879),(양갤,36.27396684218358),(그라비아,35.78455636499563),(센터,33.58021936521848),(성소,29.390126530431104),(카키,28.213085321698344),(위화감,23.87981086285478),(사쿠라,23.624804640897228),(나코,22.042594897823328),(.,21.93503363541626),(나루,21.47073381899738),(노기,20.1522038012131),(아마존,19.027780598935163),(모바메,18.895631659808572),(뽀삐,17.883711814463656),(미나미,17.45722129754967),(만두,16.5448505065784),(..,16.30420823221116),(소속사,15.654330475868758),(히토미,13.724828731103987),(일본,13.414361263980249),(쿠보,12.343916605607076),(세나,12.127647720525973),(나코는,12.091322280727862),(스시녀,11.727313886298043),(호리,11.337378995885143),(미루,11.337378995885143),(사진집,11.337378995885143),(루카,10.73536690949869),(노출,10.16945481925115),(하이브,10.04246002599283),(의상이,10.011880739048024),(미자,9.611286561174458)"
akb48,2021-08-17,"(하이브,356.50733092274544),(사쿠라,266.315979588296),(김채원,116.47512442812015),(미루,90.69903196708114),(사쿠라가,76.81177370921854),(하이브가,76.81177370921854),(나코는,72.54793368436717),(나코,66.12778469346998),(사쿠라는,57.25529018399301),(걸그룹,50.81417137104749),(하이브행,47.75895561195054),(뽀삐,44.70927953615914),(히토미,43.461957648495954),(시요밍,41.310508933602385),(하이브걸즈,40.3044076024262),(채원,35.78455636499563),(양민,35.07218430856288),(미우,34.93530397491067),(시연이,32.130395837246304),(허윤진,28.213085321698344),(아이즈원,26.949894231499496),(하이브랑,26.201477981183),(하이브에서,25.049189455496943),(세나,24.255295441051945),(앚,24.255295441051945),(김민주,24.255295441051945),(울림,23.87981086285478),(쇼룸,23.381456205708588),(쏘스뮤직,23.381456205708588),(김채원이,23.381456205708588),(협상,23.361055057778724),(합류,23.082467647516943),(민주야,21.834564984319165),(오디션,21.223383510920453),(김채원은,20.1522038012131),(샄,18.895631659808572),(프듀,18.858825391450306),(.,18.801457401785367),(영입,18.400727489162474),(미쿠,17.883711814463656)"
akb48,2021-08-18,"(사쿠라,62.28357587145633),(쇼룸,42.866003043799076),(나코,33.06389234673499),(미루,30.233010655693715),(항공편,29.266431723778943),(미자,28.833859683523375),(양갤,28.213085321698344),(하이브,27.61676507148028),(히토미,27.449657462207973),(나루,25.049189455496943),(뽀삐,23.84494908595154),(양민,23.381456205708588),(모바메,22.674757991770285),(토무,21.834564984319165),(요다,18.895631659808572),(아이즈원,14.699942308090634),(성소,14.695063265215552),(그라비아,14.313822545998253),(.,14.101093051339024),(미우,13.1007389905915),(..,12.467923942279123),(노기,12.091322280727862),(사진집,11.337378995885143),(하이브행,11.021297448911664),(타워,10.234204655509192),(일본,9.688149801763513),(시요밍,9.180113096356086),(시연이,9.180113096356086),(세나,9.09573579039448),(일본에서,8.858291449534839),(아스카,8.795485414723533),(하이브걸즈,8.06088152048524),(나코는,8.06088152048524),(쏘스뮤직,7.793818735236195),(호노,7.793818735236195),(호리,7.558252663923429),(표지,7.531845019494622),(걸그룹,7.528025388303332),(사쿠라는,7.156911272999126),(여고생,7.027372816487309)"
akb48,2021-08-19,"(사쿠라,32.21564269213258),(히토미,16.012300186287984),(나코,14.695063265215552),(사쿠라가,13.965777038039734),(하이브,12.553075032491037),(미유,12.127647720525973),(나코는,12.091322280727862),(양갤,12.091322280727862),(양민,11.690728102854294),(민주,5.961237271487885),(뽀삐,5.961237271487885),(소속사가,5.863656943149022),(이렇게까지,5.150307055271557),(이것이,4.785663941683648),(요기요,4.730865993307419),(토무,4.366912996863833),(눈을,4.25240661517575),(삼겹살,4.2102997967800855),(쿠라,4.1845914400698785),(모모카,4.1845914400698785),(아이리,4.03044076024262),(허버허버,3.974733725467319),(원영이,3.8969093676180977),(쇼룸,3.8969093676180977),(호노,3.8969093676180977),(유리나,3.7791263319617143),(모바메,3.7791263319617143),(민주는,3.7791263319617143),(미루,3.7791263319617143),(하이브에,3.673765816303888),(하이브행,3.673765816303888),(집계,3.673765816303888),(김민주는,3.673765816303888),(메이킹,3.578455636499563),(하이브에서,3.578455636499563),(그라비아,3.578455636499563),(앚은,3.578455636499563),(채원,3.578455636499563),(반응,3.5169895936940314),(하이브가,3.4914442595099335)"
ani1_new1,2021-08-16,"(애니,49.05739757780928),(스미레,33.47673152055903),(애갤,29.292140080489148),(쟈히,23.381456205708588),(ㅇㅂ,22.878104957370066),(<-,20.001878157484807),(모노가타리,18.36882908151944),(←,17.357507356220914),(마카롱,16.30952622765871),(아야야,14.313822545998253),(취향,12.722274781567833),(사이클,12.343916605607076),(임,11.193406455072827),(에혀,11.095299145517053),(아이큐,10.57658559649092),(2기,10.300614110543114),(던파,8.768645101518691),(잇음,8.100428762866025),(블레이드,8.041542129880813),(<~,7.7331985658535345),(부른,7.725460582907335),(자지,7.382706194838344),(후카,7.347531632607776),(어,7.285061847001067),(쩝,7.178495912525472),(버,7.156911272999126),(ㅇㅇ,6.895031537082063),(성우,6.862414365551993),(~,6.855903616549213),(프로그래밍,6.822803103672794),(오프닝,6.788336527780878),(아프간,6.724419777981377),(ㅎㅎ,6.724419777981377),(피로도,6.67458715936535),(여자아이,6.67458715936535),(블랙라벨,6.67458715936535),(쳐맞으면,6.4075243741163055),(고양이는,6.4075243741163055),(ㅇㅇ;,6.192983711609363),(시리즈,6.182136441818481)"
ani1_new1,2021-08-17,"(애갤,58.584280160978295),(애니,44.85247778542563),(의자,39.45890295683411),(<-,37.14634514961464),(슈타게,30.233010655693715),(모노가타리,29.390126530431104),(ㅇㅂ,26.14640566556579),(←,23.866572614803758),(아야야,21.47073381899738),(던파,19.729451478417054),(<~,19.332996414633836),(님,17.422444047006746),(임,15.670769037101959),(라면에,14.699942308090634),(목걸이,13.724828731103987),(정모,12.711818524063938),(를,12.105014239042601),(참치,11.727313886298043),(캐르,11.337378995885143),(ㅋ,11.207101744078958),(콘,11.075753968021857),(게이밍,11.029900337718932),(후카,11.021297448911664),(리메이크,10.960806376898365),(버튜버,10.738547564044193),(다운,10.631016537939376),(의,10.16945481925115),(에이펙스,10.011880739048024),(민우,10.011880739048024),(여자아이,10.011880739048024),(털바퀴,9.79996153872709),(->,9.459646672095639),(코스프레,9.410031735379166),(오프닝,9.051115370374504),(을,8.941855907231828),(음,8.711222023503373),(ㅇㅇ,8.618789421352579),(넷플,8.590838051235355),(코로나,8.545248519865153),(파파이스,8.522570080106352)"
ani1_new1,2021-08-18,"(포커,55.080678578136514),(애갤,50.21509728083854),(애니,30.836078477480118),(급식,29.365148098637786),(<-,27.621641265098066),(<~,21.266296056097218),(제로콜라,18.515874908410613),(코미양,16.738365760279514),(로아,15.763617397307229),(←,15.1878189366933),(아야야,14.313822545998253),(님,13.937955237605395),(임,13.432087746087394),(2기,12.875767638178893),(아메리카노,12.127647720525973),(모니터,11.705995311376707),(이슬람,10.125535953582531),(ㅇㅂ,9.804902124587171),(배틀,9.09573579039448),(던파,8.768645101518691),(버튜버,8.590838051235355),(슈퍼스타,8.522570080106352),(이세계,8.394891236849965),(주식,7.934343354842462),(배달음식,7.531845019494622),(맥도날드,7.531845019494622),(에혀,7.396866097011369),(약속,7.349971154045317),(좆프리카,7.347531632607776),(취향,7.269871303753048),(미쳣네,6.938367789504861),(pv,6.822803103672794),(fhd,6.822803103672794),(블루아카,6.822803103672794),(메스가키,6.822803103672794),(머임,6.69923102961757),(실베,6.689143264375057),(에이펙스,6.67458715936535),(원톱,6.67458715936535),(프리코네,6.67458715936535)"
ani1_new1,2021-08-19,"(애갤,29.292140080489148),(ㅇㅂ,19.609804249174342),(<,10.428176598688221),(잇음,10.125535953582531),(애니,9.811479515561857),(구독,9.355058998286193),(<-,8.572233496064918),(아야야,7.156911272999126),(무슬림,6.536601416391448),(소꿉친구,6.4075243741163055),(보지털,5.961237271487885),(누나랑,5.770616911879236),(욀케,5.770616911879236),(매드무비,5.770616911879236),(사무실,5.681713386737568),(할말이,5.681713386737568),(2기,5.150307055271557),(사투리,5.021230012996415),(500,5.021230012996415),(중국,4.925675123738735),(있는게,4.755436666063551),(좋을,4.6775294991430965),(털,4.525557685187252),(머임,4.466154019745047),(다이아,4.430301587208743),(미국,4.413003542455857),(버티면,4.384322550759346),(다운,4.25240661517575),(스틸로,4.1845914400698785),(아니키,4.1845914400698785),(lck에서,4.1845914400698785),(공혁준,4.1845914400698785),(얍얍이랑,4.1845914400698785),(->,4.054134288040988),(니지동,4.03044076024262),(업적,3.974733725467319),(보지에,3.938035448130926),(럽코,3.8969093676180977),(얍얍,3.8969093676180977),(인생,3.8290369624044516)"
arbeit,2021-08-16,"(쿠팡,256.49910780178675),(동쿠,152.84195489023418),(출확,109.17282492159583),(인센,74.23752094668517),(계약직,71.80340030727257),(칠쿠,69.87060794982133),(조팡,64.26079167449261),(고쿠,64.26079167449261),(오후조,61.13678195609367),(오쿠,58.584280160978295),(장쿠,56.76986895922983),(쿠순이,56.76986895922983),(단기,54.4639571799886),(부쿠2,52.402955962366),(허브,48.36528912291145),(김컬,48.03604296550217),(대기업-좋소-노가다-기타알바-교도소-조팡,48.03604296550217),(양쿠,43.66912996863833),(안쿠,41.310508933602385),(인쿠,39.3022169717745),(주간,32.2379635218089),(이노텍,30.568390978046835),(컬리,29.292140080489148),(근장,23.361055057778724),(냉동,23.082467647516943),(셔틀,22.042594897823328),(좆팡,21.47073381899738),(알바,21.309382747113123),(물류,20.522799301021575),(캡틴,19.88599685358149),(쿠팡이,19.609804249174342),(근로장려금,18.509024793859112),(여쿠,18.360226192712172),(야간,18.02607469345045),(계좌,17.796545933689515),(쿠팡에서,17.574305045487453),(문자,16.749823795892766),(쿠팡은,16.686467898413376),(물량,16.371353247000837),(일당,16.30952622765871)"
arbeit,2021-08-17,"(쿠팡,314.47493353780703),(고쿠,220.32271431254605),(입금,116.88493796488743),(장쿠,104.805911924732),(계약직,98.25728463100457),(오쿠,83.69182880139758),(동쿠,74.23752094668517),(칠쿠,69.87060794982133),(오후조,69.87060794982133),(출확,69.87060794982133),(여쿠,64.26079167449261),(부쿠2,61.13678195609367),(인쿠,61.13678195609367),(컬리,54.39968872090842),(김컬,52.402955962366),(쿠순이,52.402955962366),(허브,48.36528912291145),(단기,48.05643280587229),(양쿠,48.03604296550217),(조팡,45.90056548178043),(티오,40.41142397934277),(이노텍,39.3022169717745),(인센,39.3022169717745),(쿠팡은,33.37293579682675),(안쿠,32.130395837246304),(캡틴,31.249423627056625),(쿠팡에서,27.61676507148028),(문자,23.92831970841824),(대기업-좋소-노가다-기타알바-교도소-조팡,21.834564984319165),(알바,19.45639294301633),(실업급여,18.858825391450306),(야간,18.02607469345045),(물류,17.590970829447066),(일용직,17.057007759181985),(공휴일,15.654330475868758),(주간,14.879060086988723),(돈,14.814866827609853),(들어왔다,14.204283466843922),(면접,13.432087746087394),(공장,13.152967652278036)"
